parameter,alpha,residual_norm,smoothness_norm
Temperature,1438.449888287663,0.27956690902791487,0.00495304589355542
Temperature,3359.818286283781,0.302661306159817,0.004274135594016126
Temperature,7847.5997035146065,0.33498407352989523,0.003772959564322007
Temperature,18329.807108324338,0.39017264882324626,0.0033051795446986543
Temperature,42813.32398719387,0.4868766257475083,0.0028148223298341186
Temperature,100000.0,0.6390367879110689,0.002304616924429897
10-minute mean wind speed,0.01,0.026441091747857262,0.789430575779922
10-minute mean wind speed,0.023357214690901226,0.053434791151491245,0.6987360195554209
10-minute mean wind speed,0.0545559478116852,0.09551319800175162,0.5622245810944223
10-minute mean wind speed,0.12742749857031335,0.14645060867082862,0.4085227659188526
10-minute mean wind speed,0.29763514416313175,0.19579468542851908,0.27828971897732313
10-minute mean wind speed,0.6951927961775606,0.2389348927391882,0.18581127236840717
10-minute mean wind speed,1.623776739188721,0.27649662089828336,0.12456277420102892
10-minute mean wind speed,3.79269019073225,0.3103153013232331,0.08472978626433791
10-minute mean wind speed,8.858667904100823,0.34218135693256585,0.05872645107944522
10-minute mean wind speed,20.69138081114788,0.3744356841807552,0.04102480340904787
10-minute mean wind speed,48.32930238571752,0.4088870154269015,0.028293681183520495
10-minute mean wind speed,112.88378916846884,0.444087186937092,0.019443456194879905
10-minute mean wind speed,263.6650898730355,0.47944551141009467,0.013482259056922434
10-minute mean wind speed,615.8482110660254,0.5167639231275496,0.009289899150218196
10-minute mean wind speed,1438.449888287663,0.5555395356028906,0.006358502319008528
10-minute mean wind speed,3359.818286283781,0.5951893876996691,0.004349458999581977
10-minute mean wind speed,7847.5997035146065,0.6379851732125018,0.002881291900652785
10-minute mean wind speed,18329.807108324338,0.6828069933332631,0.0017781528904897172
10-minute mean wind speed,42813.32398719387,0.7224469082100032,0.0010297845339851364
10-minute mean wind speed,100000.0,0.7521091564528598,0.0005893503840153471
Maximum wind gust,0.01,0.035252933624252754,1.1266181803053865
Maximum wind gust,0.023357214690901226,0.07201622060525031,1.0114242552755393
Maximum wind gust,0.0545559478116852,0.13119106727767738,0.8331353019062449
Maximum wind gust,0.12742749857031335,0.20664551517511565,0.6224396154064448
Maximum wind gust,0.29763514416313175,0.2844765910827861,0.43155779774863817
Maximum wind gust,0.6951927961775606,0.3555158325595776,0.28727553204598755
Maximum wind gust,1.623776739188721,0.4170295542836325,0.18923720203816788
Maximum wind gust,3.79269019073225,0.4704426893290428,0.1259352749876018
Maximum wind gust,8.858667904100823,0.5197510892987633,0.08421019969076554
Maximum wind gust,20.69138081114788,0.5674447055310764,0.05573917948446279
Maximum wind gust,48.32930238571752,0.6130083551637507,0.03647835212084085
Maximum wind gust,112.88378916846884,0.654399350284358,0.024215209231562566
Maximum wind gust,263.6650898730355,0.6928572666649314,0.01653172616007822
Maximum wind gust,615.8482110660254,0.7319570147834048,0.011394068284845394
Maximum wind gust,1438.449888287663,0.7725680736302474,0.00790119212282026
Maximum wind gust,3359.818286283781,0.8157455514156182,0.005493096366194373
Maximum wind gust,7847.5997035146065,0.8645655936880842,0.0037023362361321356
Maximum wind gust,18329.807108324338,0.917974820279099,0.0023379770538452613
Maximum wind gust,42813.32398719387,0.968212725983761,0.0013812671456654244
Maximum wind gust,100000.0,1.007939813261794,0.0007942444846672161
