"DateTime";"10 min. middelvind";"Højeste vindstød"
"2026-06-29 02:20:00";4.099999904632568;6.099999904632568
"2026-06-29 02:30:00";4.099999904632568;6.099999904632568
"2026-06-29 02:40:00";3.0999999046325684;5.599999904632568
"2026-06-29 02:50:00";3.5999999046325684;5.300000190734863
"2026-06-29 03:00:00";4.099999904632568;5.900000095367432
"2026-06-29 03:10:00";4.599999904632568;7.300000190734863
"2026-06-29 03:20:00";5.099999904632568;7.400000095367432
"2026-06-29 03:30:00";4.599999904632568;6.5
"2026-06-29 03:40:00";3.5999999046325684;5
"2026-06-29 03:50:00";3.5999999046325684;5.199999809265137
"2026-06-29 04:00:00";3.5999999046325684;5.199999809265137
"2026-06-29 04:10:00";4.099999904632568;5.699999809265137
"2026-06-29 04:20:00";4.099999904632568;5.800000190734863
"2026-06-29 04:30:00";4.599999904632568;6.400000095367432
"2026-06-29 04:40:00";5.699999809265137;8
"2026-06-29 04:50:00";5.699999809265137;8.600000381469727
"2026-06-29 05:00:00";5.099999904632568;7.599999904632568
"2026-06-29 05:10:00";4.599999904632568;6.900000095367432
"2026-06-29 05:20:00";4.099999904632568;6
"2026-06-29 05:30:00";5.099999904632568;7.300000190734863
"2026-06-29 05:40:00";4.099999904632568;6.599999904632568
"2026-06-29 05:50:00";3.5999999046325684;5.699999809265137
"2026-06-29 06:00:00";4.099999904632568;5.699999809265137
"2026-06-29 06:10:00";4.099999904632568;5.800000190734863
"2026-06-29 06:20:00";4.099999904632568;5.900000095367432
"2026-06-29 06:30:00";4.099999904632568;6.300000190734863
"2026-06-29 06:40:00";4.099999904632568;6.199999809265137
"2026-06-29 06:50:00";4.599999904632568;6.400000095367432
"2026-06-29 07:00:00";4.599999904632568;7.400000095367432
"2026-06-29 07:10:00";4.599999904632568;6.699999809265137
"2026-06-29 07:20:00";4.599999904632568;6.5
"2026-06-29 07:30:00";4.599999904632568;6.699999809265137
"2026-06-29 07:40:00";4.599999904632568;6.099999904632568
"2026-06-29 07:50:00";4.099999904632568;5.800000190734863
"2026-06-29 08:00:00";4.099999904632568;6.400000095367432
"2026-06-29 08:10:00";4.099999904632568;6.199999809265137
"2026-06-29 08:20:00";4.099999904632568;6.5
"2026-06-29 08:30:00";4.599999904632568;6.699999809265137
"2026-06-29 08:40:00";4.599999904632568;6.800000190734863
"2026-06-29 08:50:00";4.599999904632568;7.199999809265137
"2026-06-29 09:00:00";4.099999904632568;6.099999904632568
"2026-06-29 09:10:00";5.099999904632568;6.800000190734863
"2026-06-29 09:20:00";4.099999904632568;6.300000190734863
"2026-06-29 09:30:00";4.599999904632568;6.699999809265137
"2026-06-29 09:40:00";4.099999904632568;6.099999904632568
"2026-06-29 09:50:00";4.099999904632568;5.800000190734863
"2026-06-29 10:00:00";4.099999904632568;6.099999904632568
"2026-06-29 10:10:00";3.5999999046325684;5
"2026-06-29 10:20:00";3.5999999046325684;5.300000190734863
"2026-06-29 10:30:00";3.5999999046325684;6.199999809265137
"2026-06-29 10:40:00";3.5999999046325684;6
"2026-06-29 10:50:00";3.5999999046325684;5.400000095367432
"2026-06-29 11:00:00";3.5999999046325684;5.099999904632568
"2026-06-29 11:10:00";3.5999999046325684;6
"2026-06-29 11:20:00";4.099999904632568;6.199999809265137
"2026-06-29 11:30:00";3.5999999046325684;6
"2026-06-29 11:40:00";3.5999999046325684;5.900000095367432
"2026-06-29 11:50:00";4.099999904632568;6.900000095367432
"2026-06-29 12:00:00";3.5999999046325684;5.800000190734863
"2026-06-29 12:10:00";4.599999904632568;7.599999904632568
"2026-06-29 12:20:00";4.599999904632568;6.599999904632568
"2026-06-29 12:30:00";4.599999904632568;6.900000095367432
"2026-06-29 12:40:00";5.699999809265137;8.199999809265137
